Animal_Breed_ID,Animal_Breed
0,American Bulldog
1,American Curl Shorthair
2,American Pit Bull Terrier
3,American Shorthair
4,American Staffordshire / American Bulldog
5,Australian Cattle Dog
6,Australian Kelpie
7,Australian Terrier
8,Beagle
9,Bichon Frise
10,Bloodhound
11,Border Collie
12,Boxer
13,Bull Terrier
14,Bulldog
15,Cavalier King Charles Spaniel
16,Chihuahua - Long Haired
17,Chihuahua - Long Haired / Pug
18,Chihuahua - Smooth Coated
19,Chihuahua - Smooth Coated / Jack Russell Terrier
20,Chihuahua - Smooth Coated / Mix
21,Chow Chow
22,Cocker Spaniel
23,Dachshund
24,Doberman Pinscher / Mix
25,Domestic Longhair
26,Domestic Mediumhair
27,Domestic Mediumhair / Manx
28,Domestic Shorthair
29,Domestic Shorthair / Siamese
30,English Bulldog
31,Exotic Shorthair
32,Fowl
33,French Bulldog
34,German Shepherd
35,Goat/sheep
36,Golden Retriever
37,Great Dane
38,Havanese
39,Jack Russell Terrier
40,Labrador Retriever
41,Lhasa Apso
42,Lionhead / Mix
43,Maine Coon
44,Maltese
45,Miniature Pinscher
46,Miniature Pinscher / Chihuahua - Smooth Coated
47,Miniature Poodle
48,Miniature Schnauzer
49,Norwegian Forest Cat
50,Papillon
51,Persian
52,Pit Bull
53,Pixiebob Longhair
54,Pixiebob Shorthair
55,Pointer
56,Pomeranian
57,Pomeranian / Mix
58,Pug
59,Rabbit Lh
60,Rabbit Sh
61,Rat Terrier
62,Rottweiler
63,Russian Blue
64,Savannah
65,Shiba Inu
66,Shih Tzu
67,Shih Tzu / Havanese
68,Shih Tzu / Mix
69,Siamese
70,Siberian Husky
71,Staffordshire Bull Terrier
72,Staffordshire Bull Terrier
73,Terrier
74,Terrier / Mix
75,Tortoise
76,Toy Poodle
77,West Highland White Terrier
78,Whippet
79,Wire Fox Terrier
80,Yorkshire Terrier
